race,category,category_order,district,first,middle,last,suffix,name,slug,party,party_order,incumbent,filed,fecid,fecpacid,tecid,tecpacid,new_order,order
Texas House,tx-house,13,75,Rey,,Sepulveda,,Rey Sepulveda,rey-sepulveda,D,1,,TRUE,,,00069758,,369,529
Texas House,tx-house,13,76,Cesar,,Blanco,,Cesar Blanco,cesar-blanco,D,1,,TRUE,,,00069541,,370,530
Texas House,tx-house,13,76,Norma,,Chavez,,Norma Chavez,norma-chavez,D,1,,TRUE,,,00032066,,371,531
Texas House,tx-house,13,76,Naomi,R.,Gonzalez,,Naomi R. Gonzalez,naomi-r-gonzalez,D,1,TRUE,TRUE,,,00066051,,372,532
Texas House,tx-house,13,76,J.,Alexandro,Lozano,,J. Alexandro Lozano,j-alexandro-lozano,L,3,,TRUE,,,00069778,,373,533
Texas House,tx-house,13,77,Marisa,,Marquez,,Marisa Marquez,marisa-marquez,D,1,TRUE,TRUE,,,00062161,,374,534
Texas House,tx-house,13,77,Lyda,,Ness-Garcia,,Lyda Ness-Garcia,lyda-ness-garcia,D,1,,TRUE,,,00061857,,375,535
Texas House,tx-house,13,77,Ben,E.,Mendoza,,Ben E. Mendoza,ben-e-mendoza,I,5,,TRUE,,,00068070,,376,536
Texas House,tx-house,13,78,Joe,,Moody,,Joe Moody,joseph-moody,D,1,TRUE,TRUE,,,00062850,,377,537
Texas House,tx-house,13,79,Chuck,,Peartree,,Chuck Peartree,chuck-peartree,D,1,,TRUE,,,00069815,,378,538
Texas House,tx-house,13,79,Joe,C.,Pickett,,Joe C. Pickett,joe-pickett,D,1,TRUE,TRUE,,,00026389,,379,539
Texas House,tx-house,13,79,Steven,,Shaw,,Steven Shaw,stephen-shaw,L,3,,TRUE,,,00069900,,380,540
Texas House,tx-house,13,80,Tracy,O.,King,,Tracy O. King,tracy-king,D,1,TRUE,TRUE,,,00021143,,381,541
Texas House,tx-house,13,80,Marco,,Buentello,,Marco Buentello,marco-buentello,G,4,,TRUE,,,00069856,,382,542
Texas House,tx-house,13,81,Austin,R.,Keith,,Austin R. Keith,austin-keith,R,2,,TRUE,,,00069544,,383,543
Texas House,tx-house,13,81,Brooks,,Landgraf,,Brooks Landgraf,brooks-landgraf,R,2,,TRUE,,,00069756,,384,544
Texas House,tx-house,13,82,Dan,,Anderson,,Dan Anderson,dan-anderson,L,3,,TRUE,,,,,385,545
Texas House,tx-house,13,82,Tom,,Craddick,,Tom Craddick,tom-craddick,R,2,TRUE,TRUE,,,00020051,,386,546
Texas House,tx-house,13,83,Steve,,Massengale,,Steve Massengale,steve-massengale,R,2,,TRUE,,,00069693,,387,547
Texas House,tx-house,13,83,Charles,,Perry,,Charles Perry,charles-perry,R,2,TRUE,TRUE,,,00066066,,388,548
Texas House,tx-house,13,84,Ed,,Tishler,,Ed Tishler,ed-tishler,D,1,,TRUE,,,00069818,,389,549
Texas House,tx-house,13,84,John,,Frullo,,John Frullo,john-frullo,R,2,TRUE,TRUE,,,00066260,,390,550
Texas House,tx-house,13,85,Cynthia,,Drabek,,Cynthia Drabek,cynthia-drabek,D,1,,TRUE,,,00069762,,391,551
Texas House,tx-house,13,85,Phil,,Stephenson,,Phil Stephenson,phil-stephenson,R,2,TRUE,TRUE,,,00038508,,392,552
Texas House,tx-house,13,86,John,,Smithee,,John Smithee,john-smithee,R,2,TRUE,TRUE,,,00020664,,393,553
Texas House,tx-house,13,87,Abel,,Bosquez,,Abel Bosquez,abel-g-bosquez,D,1,,TRUE,,,00065893,,394,554
Texas House,tx-house,13,87,Four,,Price,,Four Price,walter-t-four-price,R,2,TRUE,TRUE,,,00066243,,395,555
Texas House,tx-house,13,88,Kerry,,McKennon,,Kerry McKennon,kerry-mckennon,L,3,,TRUE,,,00069683,,396,556
Texas House,tx-house,13,88,Ken,,King,,Ken King,ken-king,R,2,TRUE,TRUE,,,00067681,,397,557
Texas House,tx-house,13,89,Sameena,,Karmally,,Sameena Karmally,sameena-karmally,D,1,,TRUE,,,00069607,,398,558
Texas House,tx-house,13,89,Bob,,Worthington,,Bob Worthington,bob-worthington,L,3,,TRUE,,,00052075,,399,559
Texas House,tx-house,13,89,Jodie,,Laubenberg,,Jodie Laubenberg,jodie-laubenberg,R,2,TRUE,TRUE,,,00051273,,400,560
Texas House,tx-house,13,90,Lon,,Burnam,,Lon Burnam,lon-burnam,D,1,TRUE,TRUE,,,00019778,,401,561
Texas House,tx-house,13,90,Ramon,,Romero,Jr.,Ramon Romero Jr.,ramon-romero-jr,D,1,,TRUE,,,00069719,,402,562
Texas House,tx-house,13,91,David,L.,Ragan,,David L. Ragan,david-l-ragan,D,1,,TRUE,,,00069638,,403,563
Texas House,tx-house,13,91,Felecia,,Whatley,,Felecia Whatley,felicia-whatley,L,3,,TRUE,,,00069902,,404,564
Texas House,tx-house,13,91,Stephanie,,Klick,,Stephanie Klick,stephanie-klick,R,2,TRUE,TRUE,,,00057431,,405,565
Texas House,tx-house,13,92,Tina,,Penney,,Tina Penney,tina-penney,D,1,,TRUE,,,00069602,,406,566
Texas House,tx-house,13,92,Andy,,Cargile,,Andy Cargile,andy-cargile,R,2,,TRUE,,,00069575,,407,567
Texas House,tx-house,13,92,Jonathan,,Stickland,,Jonathan Stickland,jonathan-stickland,R,2,TRUE,TRUE,,,00067904,,408,568
Texas House,tx-house,13,93,Jeff,,Owens,,Jeff Owens,jeff-owens,L,3,,TRUE,,,00069903,,409,569
Texas House,tx-house,13,93,Matt,,Krause,,Matt Krause,matt-krause,R,2,TRUE,TRUE,,,00065897,,410,570
Texas House,tx-house,13,94,Cole,,Ballweg,,Cole Ballweg,cole-ballweg,D,1,,TRUE,,,00069717,,411,571
Texas House,tx-house,13,94,Robert,,Harris,,Robert Harris,robert-harris,L,3,,TRUE,,,00069347,,412,572
Texas House,tx-house,13,94,Diane,,Patrick,,Diane Patrick,diane-patrick,R,2,TRUE,TRUE,,,00020837,,413,573
Texas House,tx-house,13,94,Tony,,Tinderholt,,Tony Tinderholt,tony-tinderholt,R,2,,TRUE,,,00069489,,414,574
Texas House,tx-house,13,95,Nicole,,Collier,,Nicole Collier,nicole-collier,D,1,TRUE,TRUE,,,00067957,,415,575
Texas House,tx-house,13,95,Albert,G.,McDaniel,,Albert G. McDaniel,albert-g-mcdaniel,R,2,,TRUE,,,00069748,,416,576
Texas House,tx-house,13,96,Quinn,,Eaker,,Quinn Eaker,quinn-eaker,L,3,,TRUE,,,00069905,,417,577
Texas House,tx-house,13,96,Bill,,Zedler,,Bill Zedler,bill-zedler,R,2,TRUE,TRUE,,,00041860,00066474,418,578
Texas House,tx-house,13,97,Rod,,Wingo,,Rod Wingo,rod-wingo,L,3,,TRUE,,,00058938,,420,579
Texas House,tx-house,13,97,Craig,,Goldman,,Craig Goldman,craig-goldman,R,2,TRUE,TRUE,,,00062004,,421,580
Texas House,tx-house,13,98,Giovanni,,Capriglione,,Giovanni Capriglione,giovanni-capriglione,R,2,TRUE,TRUE,,,00065973,,422,581
Texas House,tx-house,13,99,Charlie,,Geren,,Charlie Geren,charlie-geren,R,2,TRUE,TRUE,,,00029493,,423,582
Texas House,tx-house,13,100,Eric,,Johnson,,Eric Johnson,eric-johnson,D,1,TRUE,TRUE,,,00065751,,424,583
Texas House,tx-house,13,100,Brian,,Chapman,,Brian Chapman,brian-chapman,L,3,,TRUE,,,00069906,,425,584
Texas House,tx-house,13,101,Chris,,Turner,,Chris Turner,chris-turner,D,1,TRUE,TRUE,,,00062790,,426,585
Texas House,tx-house,13,101,Carl,,Nulsen,,Carl Nulsen,carl-nulsen,L,3,,TRUE,,,00063087,,427,586
Texas House,tx-house,13,102,George,M.,Clayton,,George M. Clayton,george-m-clayton,D,1,,TRUE,,,00065569,,428,587
Texas House,tx-house,13,102,Adryana,,Boyne,,Adryana Boyne,adryana-boyne,R,2,,TRUE,,,00069348,,429,588
Texas House,tx-house,13,102,Sam,,Brown,,Sam Brown,sam-brown,R,2,,TRUE,,,00069421,,430,589
Texas House,tx-house,13,102,Stefani,,Carter,,Stefani Carter,stefani-carter,R,2,TRUE,TRUE,,,00064029,,431,590
Texas House,tx-house,13,102,Linda,,Koop,,Linda Koop,linda-koop,R,2,,TRUE,,,00069372,,432,591
Texas House,tx-house,13,103,Rafael,M.,Anchia,,Rafael M. Anchia,rafael-anchia,D,1,TRUE,TRUE,,,00054808,,433,592
Texas House,tx-house,13,104,Roberto,R.,Alonzo,,Roberto R. Alonzo,roberto-alonzo,D,1,TRUE,TRUE,,,00019681,,434,593
Texas House,tx-house,13,105,Terry,,Meza,,Terry Meza,terry-meza,D,1,,TRUE,,,00069649,,435,594
Texas House,tx-house,13,105,Bernice,,Montgomery,,Bernice Montgomery,bernice-montgomery,D,1,,TRUE,,,00069806,,436,595
Texas House,tx-house,13,105,Susan,,Motley,,Susan Motley,susan-motley,D,1,,TRUE,,,00069535,,437,596
Texas House,tx-house,13,105,W.,Carl,Spiller,,W. Carl Spiller,w-carl-spiller,L,3,,TRUE,,,00069844,,438,597
Texas House,tx-house,13,105,Rodney,,Anderson,,Rodney Anderson,rodney-anderson,R,2,,TRUE,,,00066277,00069452,439,598
Texas House,tx-house,13,105,Linda,,Harper-Brown,,Linda Harper-Brown,linda-harperbrown,R,2,TRUE,TRUE,,,00051665,,441,599
Texas House,tx-house,13,106,Lisa,,Osterholt,,Lisa Osterholt,lisa-osterholt,D,1,,TRUE,,,00069557,,442,600
Texas House,tx-house,13,106,Rodney,,Caston,,Rodney Caston,rodney-caston,L,3,,TRUE,,,00068362,,443,601
Texas House,tx-house,13,106,Pat,,Fallon,,Pat Fallon,pat-fallon,R,2,TRUE,TRUE,,,00067539,,444,602
Texas House,tx-house,13,107,Carol,,Donovan,,Carol Donovan,carol-donovan,D,1,,TRUE,,,00069236,,445,603
Texas House,tx-house,13,107,Kenneth,,Sheets,,Kenneth Sheets,kenneth-sheets,R,2,TRUE,TRUE,,,00066290,,446,604
Texas House,tx-house,13,108,Leigh,,Bailey,,Leigh Bailey,leigh-bailey,D,1,,TRUE,,,00069494,,447,605
Texas House,tx-house,13,108,Court,,Alley,,Court Alley,court-alley,R,2,,TRUE,,,00069323,,448,606
Texas House,tx-house,13,108,Morgan,,Meyer,,Morgan Meyer,morgan-meyer,R,2,,TRUE,,,00069344,,449,607
Texas House,tx-house,13,108,Chart,,Westcott,,Chart Westcott,chart-westcott,R,2,,TRUE,,,00069137,,450,608
Texas House,tx-house,13,109,Helen,,Giddings,,Helen Giddings,helen-giddings,D,1,TRUE,TRUE,,,00020108,,451,609
Texas House,tx-house,13,109,Genevieve,,Gregory,,Genevieve Gregory,genevieve-gregory,D,1,,TRUE,,,00069700,,452,610
Texas House,tx-house,13,110,Sandra,,Crenshaw,,Sandra Crenshaw,sandra-crenshaw,D,1,,TRUE,,,00069780,,453,611
Texas House,tx-house,13,110,Toni,,Rose,,Toni Rose,toni-rose,D,1,TRUE,TRUE,,,00067987,,454,612
Texas House,tx-house,13,111,Yvonne,,Davis,,Yvonne Davis,yvonne-davis,D,1,TRUE,TRUE,,,00019811,,455,613
Texas House,tx-house,13,112,Michael,,Binkley,,Michael Binkley,michael-binkley,L,3,,TRUE,,,00069907,,456,614
Texas House,tx-house,13,112,Angie,Chen,Button,,Angie Chen Button,angie-chen-button,R,2,TRUE,TRUE,,,00062309,,457,615
Texas House,tx-house,13,112,Jared,,Patterson,,Jared Patterson,jared-patterson,R,2,,TRUE,,,00069343,,458,616
Texas House,tx-house,13,113,Milton,,Whitley,,Milton Whitley,milton-whitley,D,1,,TRUE,,,00069697,,459,617
Texas House,tx-house,13,113,Cindy,,Burkett,,Cindy Burkett,cindy-burkett,R,2,TRUE,TRUE,,,00065930,,460,618
Texas House,tx-house,13,114,Thomas,,Griffing,,Thomas Griffing,thomas-griffing,L,3,,TRUE,,,00069908,,461,619
Texas House,tx-house,13,114,Jason,,Villalba,,Jason Villalba,jason-villalba,R,2,TRUE,TRUE,,,00067845,00067846,462,620
Texas House,tx-house,13,115,Paul,K.,Stafford,,Paul K. Stafford,paul-stafford,D,1,,TRUE,,,00069699,,464,621
Texas House,tx-house,13,115,Kim,,Kelley,,Kim Kelley,kim-kelley,L,3,,TRUE,,,00069909,,465,622
Texas House,tx-house,13,115,Bennett,,Ratliff,,Bennett Ratliff,bennett-ratliff,R,2,TRUE,TRUE,,,00067616,,466,623
Texas House,tx-house,13,115,Matt,,Rinaldi,,Matt Rinaldi,matt-rinaldi,R,2,,TRUE,,,00065931,,467,624
Texas House,tx-house,13,116,Trey,Martinez,Fischer,,Trey Martinez Fischer,trey-martinez-fischer,D,1,TRUE,TRUE,,,00040542,,468,625
Texas House,tx-house,13,117,Philip,,Cortez,,Philip Cortez,phillip-cortez,D,1,TRUE,TRUE,,,00067628,,469,626
Texas House,tx-house,13,117,Rick,,Galindo,,Rick Galindo,rick-galindo,R,2,,TRUE,,,00069523,,470,627
Texas House,tx-house,13,117,John,V.,Garza,,John V. Garza,john-v-garza,R,2,,TRUE,,,00062837,,471,628
Texas House,tx-house,13,118,Joe,,Farias,,Joe Farias,joe-farias,D,1,TRUE,TRUE,,,00058360,,472,629
Texas House,tx-house,13,119,Roland,,Gutierrez,,Roland Gutierrez,roland-gutierrez,D,1,TRUE,TRUE,,,00062485,,473,630
Texas House,tx-house,13,120,Ruth,Jones,McClendon,,Ruth Jones McClendon,ruth-mcclendon,D,1,TRUE,TRUE,,,00023012,,474,631
Texas House,tx-house,13,120,Gilberto,,Villela,,Gilberto Villela,gilberto-villela,L,3,,TRUE,,,00069910,,475,632
Texas House,tx-house,13,121,Jeff,,Carruthers,,Jeff Carruthers,jeff-caruthers,L,3,,TRUE,,,00052356,,476,633
Texas House,tx-house,13,121,Matt,,Beebe,,Matt Beebe,matt-beebe,R,2,,TRUE,,,00067964,,477,634
Texas House,tx-house,13,121,Joe,,Straus,,Joe Straus,joe-straus,R,2,TRUE,TRUE,,,00019498,00056637,478,635
Texas House,tx-house,13,122,James,,Holland,,James Holland,james-holland,L,3,,TRUE,,,00069911,,480,636
Texas House,tx-house,13,122,Lyle,,Larson,,Lyle Larson,lyle-larson,R,2,TRUE,TRUE,,,00025726,,481,637
Texas House,tx-house,13,123,Mike,,Villarreal,,Mike Villarreal,mike-villarreal,D,1,TRUE,TRUE,,,00040281,,482,638
Texas House,tx-house,13,123,Frank,,Valdez,,Frank Valdez,frank-valdez,G,4,,TRUE,,,00069857,,483,639
Texas House,tx-house,13,124,José,,Menéndez,,José Menéndez,jose-menendez,D,1,TRUE,TRUE,,,00042411,,484,640
Texas House,tx-house,13,125,Justin,,Rodriguez,,Justin Rodriguez,justin-rodriguez,D,1,TRUE,TRUE,,,00067615,,485,641
Texas House,tx-house,13,125,Daniel,,Behrman,,Daniel Behrman,daniel-behrman,L,3,,TRUE,,,00069912,,486,642
Texas House,tx-house,13,126,Cris,,Hernandez,,Cris Hernandez,cris-hernandez,L,3,,TRUE,,,00069913,,487,643
Texas House,tx-house,13,126,Patricia,,Harless,,Patricia Harless,patricia-harless,R,2,TRUE,TRUE,,,00037927,,488,644
Texas House,tx-house,13,127,Dan,,Huberty,,Dan Huberty,dan-huberty,R,2,TRUE,TRUE,,,00065889,00067083,489,645
Texas House,tx-house,13,128,Ken,,Lowder,,Ken Lowder,ken-lowder,L,3,,TRUE,,,00069914,,491,646
Texas House,tx-house,13,128,Wayne,,Smith,,Wayne Smith,wayne-smith,R,2,TRUE,TRUE,,,00051506,,492,647
Texas House,tx-house,13,129,John,,Gay,,John Gay,john-gay,D,1,,TRUE,,,00069592,,493,648
Texas House,tx-house,13,129,Sheryl,,Berg,,Sheryl Berg,sheryl-berg,R,2,,TRUE,,,00069476,,494,649
Texas House,tx-house,13,129,Briscoe,,Cain,,Briscoe Cain,briscoe-cain,R,2,,TRUE,,,00069218,,495,650
Texas House,tx-house,13,129,Mary,,Huls,,Mary Huls,mary-huls,R,2,,TRUE,,,00065798,00069577,496,651
Texas House,tx-house,13,129,Jeff,,Larson,,Jeff Larson,jeff-larson,R,2,,TRUE,,,00069526,,498,652
Texas House,tx-house,13,129,Chuck,,Maricle,,Chuck Maricle,chuck-maricle,R,2,,TRUE,,,00069749,,499,653
Texas House,tx-house,13,129,Dennis,,Paul,,Dennis Paul,dennis-paul,R,2,,TRUE,,,00069502,,500,654
Texas House,tx-house,13,129,Brent,,Perry,,Brent Perry,brent-perry,R,2,,TRUE,,,00069568,,501,655
Texas House,tx-house,13,130,Art,,Browning,,Art Browning,art-browning,G,4,,TRUE,,,00055025,,502,656
Texas House,tx-house,13,130,Allen,,Fletcher,,Allen Fletcher,allen-fletcher,R,2,TRUE,TRUE,,,00062344,,503,657
Texas House,tx-house,13,131,Alma,A.,Allen,,Alma A. Allen,alma-allen,D,1,TRUE,TRUE,,,00019673,,504,658
Texas House,tx-house,13,131,Azuwuike,,Okorafor,,Azuwuike Okorafor,azuwuike-okorafor,D,1,,TRUE,,,00069746,,505,659
Texas House,tx-house,13,132,Luis,,Lopez,,Luis Lopez,luis-lopez,D,1,,TRUE,,,00069764,,506,660
Texas House,tx-house,13,132,Michael,,Franks,,Michael Franks,michael-franks,R,2,,TRUE,,,00037080,,507,661
Texas House,tx-house,13,132,Ann,,Hodge,,Ann Hodge,ann-hodge,R,2,,TRUE,,,00013360,,508,662
Texas House,tx-house,13,132,Justin,D.,Perryman,,Justin D. Perryman,justin-perryman,R,2,,TRUE,,,00055984,,509,663
Texas House,tx-house,13,132,Mike,,Schofield,,Mike Schofield,mike-schofield,R,2,,TRUE,,,00057835,,510,664
Texas House,tx-house,13,133,Laura,,Nicol,,Laura Nicol,laura-nicol,D,1,,TRUE,,,00069665,,511,665
Texas House,tx-house,13,133,Jim,,Murphy,,Jim Murphy,jim-murphy,R,2,TRUE,TRUE,,,00024733,00051606,512,666
Texas House,tx-house,13,134,Alison,,Ruff,,Alison Ruff,alison-ruff,D,1,,TRUE,,,00069761,,514,667
Texas House,tx-house,13,134,Sarah,,Davis,,Sarah Davis,sarah-davis,R,2,TRUE,TRUE,,,00066272,,515,668
Texas House,tx-house,13,134,Bonnie,,Parker,,Bonnie Parker,bonnie-parker,R,2,,TRUE,,,00066393,,516,669
Texas House,tx-house,13,135,Moiz,,Abbas,,Moiz Abbas,moiz-abbas,D,1,,TRUE,,,00069722,,517,670
Texas House,tx-house,13,135,Gary,,Elkins,,Gary Elkins,gary-elkins,R,2,TRUE,TRUE,,,00026729,,518,671
Texas House,tx-house,13,136,John,H.,Bucy,III,John H. Bucy III,john-h-bucy-iii,D,1,,TRUE,,,00069589,,519,672
Texas House,tx-house,13,136,Justin,,Billiot,,Justin Billiot,justin-billiot,L,3,,TRUE,,,00069915,,520,673
Texas House,tx-house,13,136,Tony,,Dale,,Tony Dale,tony-dale,R,2,TRUE,TRUE,,,00058331,,521,674
Texas House,tx-house,13,137,Gene,,Wu,,Gene Wu,gene-wu,D,1,TRUE,TRUE,,,00068103,,522,675
Texas House,tx-house,13,137,Morad,H.,Fiki,,Morad H. Fiki,morad-h-fiki,R,2,,TRUE,,,00069456,,523,676
Texas House,tx-house,13,138,Fred,R.,Vernon,,Fred R. Vernon,fred-r-vernon,D,1,,TRUE,,,00069763,,524,677
Texas House,tx-house,13,138,Frank,,Cansella,,Frank Cansella,frank-cansella,L,3,,TRUE,,,00069916,,525,678
Texas House,tx-house,13,138,Dwayne,,Bohac,,Dwayne Bohac,dwayne-bohac,R,2,TRUE,TRUE,,,00032585,,526,679
Texas House,tx-house,13,139,Sylvester,,Turner,,Sylvester Turner,sylvester-turner,D,1,TRUE,TRUE,,,00020872,,527,680
Texas House,tx-house,13,140,Armando,Lucio,Walle,,Armando Lucio Walle,armando-walle,D,1,TRUE,TRUE,,,00062108,,528,681
Texas House,tx-house,13,141,Senfronia,,Thompson,,Senfronia Thompson,senfronia-thompson,D,1,TRUE,TRUE,,,00020791,,529,682
Texas House,tx-house,13,142,Harold,V.,Dutton,Jr.,Harold V. Dutton Jr.,harold-dutton-jr,D,1,TRUE,TRUE,,,00021133,,530,683
Texas House,tx-house,13,143,Ana,,Hernandez,,Ana Hernandez,ana-hernandez,D,1,TRUE,TRUE,,,00057411,,531,684
Texas House,tx-house,13,144,Mary,Ann,Perez,,Mary Ann Perez,mary-ann-perez,D,1,TRUE,TRUE,,,00068026,,532,685
Texas House,tx-house,13,144,Gilbert,,Peña,,Gilbert Peña,gilbert-pena,R,2,,TRUE,,,00058277,,533,686
Texas House,tx-house,13,145,Carol,,Alvarado,,Carol Alvarado,carol-alvarado,D,1,TRUE,TRUE,,,00024376,,534,687
Texas House,tx-house,13,145,Susan,,Delgado,,Susan Delgado,susan-delgado,D,1,,TRUE,,,00056011,,535,688
Texas House,tx-house,13,146,Borris,L.,Miles,,Borris L. Miles,borris-miles,D,1,TRUE,TRUE,,,00052983,,536,690
Texas House,tx-house,13,146,Morgan,,Bradford,,Morgan Bradford,morgan-bradford,G,4,,TRUE,,,00069871,,537,691
Texas House,tx-house,13,147,Garnet,F.,Coleman,,Garnet F. Coleman,garnet-coleman,D,1,TRUE,TRUE,,,00019980,,538,692
Texas House,tx-house,13,148,Jessica,Cristina,Farrar,,Jessica Cristina Farrar,jessica-farrar,D,1,TRUE,TRUE,,,00026313,,539,693
Texas House,tx-house,13,148,Chris,,Carmona,,Chris Carmona,chris-carmona,R,2,,TRUE,,,00069682,,540,694
Texas House,tx-house,13,149,Hubert,,Vo,,Hubert Vo,hubert-vo,D,1,TRUE,TRUE,,,00054795,,541,695
Texas House,tx-house,13,149,Nghi,T.,Ho,,Nghi T. Ho,nghi-t-ho,R,2,,TRUE,,,00069786,,542,696
Texas House,tx-house,13,149,Al,,Hoang,,Al Hoang,al-hoang,R,2,,TRUE,,,00063357,,543,697
Texas House,tx-house,13,150,Amy,,Perez,,Amy Perez,amy-perez,D,1,,TRUE,,,00069745,,544,698
Texas House,tx-house,13,150,Tony,,Noun,,Tony Noun,tony-noun,R,2,,TRUE,,,00069230,,545,699
Texas House,tx-house,13,150,Debbie,,Riddle,,Debbie Riddle,debbie-riddle,R,2,TRUE,TRUE,,,00051296,,546,700